NAME                        READY   STATUS      RESTARTS   AGE     IP           NODE                                NOMINATED NODE   READINESS GATES
splitbrain-1                1/1     Running     0          5m54s   10.244.3.4   cnpg-sync6-logged-fq-skew-worker5   <none>           <none>
splitbrain-1-initdb-lgvrs   0/1     Completed   0          6m39s   10.244.3.3   cnpg-sync6-logged-fq-skew-worker5   <none>           <none>
splitbrain-2                1/1     Running     0          4m53s   10.244.6.4   cnpg-sync6-logged-fq-skew-worker3   <none>           <none>
splitbrain-2-join-62f57     0/1     Completed   0          5m43s   10.244.6.3   cnpg-sync6-logged-fq-skew-worker3   <none>           <none>
splitbrain-3                1/1     Running     0          3m55s   10.244.1.4   cnpg-sync6-logged-fq-skew-worker2   <none>           <none>
splitbrain-3-join-d26hv     0/1     Completed   0          4m40s   10.244.1.3   cnpg-sync6-logged-fq-skew-worker2   <none>           <none>
splitbrain-4                1/1     Running     0          2m51s   10.244.2.4   cnpg-sync6-logged-fq-skew-worker    <none>           <none>
splitbrain-4-join-62npp     0/1     Completed   0          3m44s   10.244.2.3   cnpg-sync6-logged-fq-skew-worker    <none>           <none>
splitbrain-5                1/1     Running     0          98s     10.244.5.4   cnpg-sync6-logged-fq-skew-worker6   <none>           <none>
splitbrain-5-join-q8wsz     0/1     Completed   0          2m38s   10.244.5.3   cnpg-sync6-logged-fq-skew-worker6   <none>           <none>
splitbrain-6                1/1     Running     0          13s     10.244.4.5   cnpg-sync6-logged-fq-skew-worker4   <none>           <none>
splitbrain-6-join-dwvgm     0/1     Completed   0          85s     10.244.4.4   cnpg-sync6-logged-fq-skew-worker4   <none>           <none>
